Englund Gambit 2.dxe5 Nc6 3.Nf3,15
Caro Kann Defense Advance Variation,15
Alapin Sicilian Defense 2...Nc6 3.Nf3 d6 4.d4,15
Modern Defense with 1 e4 2.d4 Bg7 3.Nf3 d6,15
Petrovs Defense 3.d3 Nc6 4.Be2,15
Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qd8 4.d4,14
Modern Defense with 1 e4 2.d3 Bg7,14
Queens Pawn Opening Zukertort Chigorin Variation 3.e3,14
Giuoco Piano Game Main Line Giuoco Pianissimo Variation,14
Queens Pawn Opening Chigorin Variation 2...Nf6 3.Bf4,14
Ruy Lopez Opening Morphy Defense Exchange Variation 4...dxc6,14
Giuoco Piano Game 4.O O Nf6 5.Nc3 d6,14
Sicilian Defense Nyezhmetdinov Rossolimo Attack 3...Qb6,14
Sicilian Defense 2.Nf3 d6 3.Bc4,14
Philidor Defense 3.Bc4 Be7,14
Pirc Defense Classical Variation 4...Bg7,14
Modern Defense with 1 e4 2.Bc4,14
Scotch Game Scotch Gambit Haxo Gambit 5.c3,14
Sicilian Defense Hyperaccelerated Dragon Variation 3.Bc4 Bg7 4.O O Nc6 5.c3,13
Caro Kann Defense Advance Botvinnik Carls Defense 4.c3 Nc6 5.Nf3 Bg4,13
Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qe5 4.Be2,13
Bishops Opening Berlin Defense,13
Giuoco Piano Game 4.O O d6 5.c3 Nf6 6.d3,13
Ruy Lopez Opening Classical Defense,13
Caro Kann Defense 2.d4 d5,13
Italian Game Two Knights Modern Bishops Opening 4...d5 5.exd5 Nxd5,13
Three Knights Opening 3...Bb4,13
Sicilian Defense Bowdler Attack 2...e6,13
Queens Pawn Opening Zukertort Chigorin Variation,13
Caro Kann Defense Advance Variation...4.Bd3 Bxd3 5.Qxd3 e6,13
Alekhines Defense Scandinavian Variation 3.exd5 Nxd5 4.Nxd5 Qxd5 5.Nf3,13
Sicilian Defense Old Sicilian Variation 3.Bc4 e6 4.Nc3 a6,13
Modern Defense with 1 d4 2.Bf4 Bg7,12
Modern Defense with 1 d4 2.Bf4 Bg7 3.e3,12
Modern Defense with 1 d4 2.Bf4 Bg7 3.e3 d6,12
Scandinavian Defense 2.e5 c5,12
Four Knights Game Italian Variation 4...Nxe4 5.Nxe4 d5,12
Nimzowitsch Defense,12
Giuoco Piano Game Main Line 4...d6,12
Giuoco Piano Game Main Line Giuoco Pianissimo Variation 5...h6,12
Kings Gambit Declined Queens Knight Defense 3.Nf3,12
Kings Pawn Opening Leonardis Variation 2...Nf6,12
Kings Pawn Opening Tayler Opening,11
French Defense,11
Modern Defense Bishop Attack 3...d6 4.Nf3,11
Scandinavian Defense Mieses Kotrc Variation,11
Englund Gambit,11
Modern Defense with 1 d4 2.Nc3 Bg7,11
Four Knights Game,11
Owens Defense 2.d4 Bb7 3.Nc3,11
